interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,publish_time_local,publish_time_utc,region,planned_outages_mw,maintenance_outages_mw,forced_outages_mw,total_outages_mw
2025-11-04T00:00:00-05:00,2025-11-04 05:00:00+00:00,2025-11-05T00:00:00-05:00,2025-11-05 05:00:00+00:00,2025-10-31T00:00:00-04:00,2025-10-31 04:00:00+00:00,Mid Atlantic - Dominion,28723,3780,1240,33743
2025-11-04T00:00:00-05:00,2025-11-04 05:00:00+00:00,2025-11-05T00:00:00-05:00,2025-11-05 05:00:00+00:00,2025-10-31T00:00:00-04:00,2025-10-31 04:00:00+00:00,PJM RTO,48866,6242,5630,60738
2025-11-04T00:00:00-05:00,2025-11-04 05:00:00+00:00,2025-11-05T00:00:00-05:00,2025-11-05 05:00:00+00:00,2025-10-31T00:00:00-04:00,2025-10-31 04:00:00+00:00,Western,20143,2462,4390,26995
2025-11-04T00:00:00-05:00,2025-11-04 05:00:00+00:00,2025-11-05T00:00:00-05:00,2025-11-05 05:00:00+00:00,2025-11-01T00:00:00-04:00,2025-11-01 04:00:00+00:00,Mid Atlantic - Dominion,28088,3899,3206,35193
2025-11-04T00:00:00-05:00,2025-11-04 05:00:00+00:00,2025-11-05T00:00:00-05:00,2025-11-05 05:00:00+00:00,2025-11-01T00:00:00-04:00,2025-11-01 04:00:00+00:00,PJM RTO,48423,7383,8104,63910
2025-11-04T00:00:00-05:00,2025-11-04 05:00:00+00:00,2025-11-05T00:00:00-05:00,2025-11-05 05:00:00+00:00,2025-11-01T00:00:00-04:00,2025-11-01 04:00:00+00:00,Western,20335,3484,4898,28717
2025-11-04T00:00:00-05:00,2025-11-04 05:00:00+00:00,2025-11-05T00:00:00-05:00,2025-11-05 05:00:00+00:00,2025-11-02T00:00:00-04:00,2025-11-02 04:00:00+00:00,Mid Atlantic - Dominion,27966,3899,3304,35169
2025-11-04T00:00:00-05:00,2025-11-04 05:00:00+00:00,2025-11-05T00:00:00-05:00,2025-11-05 05:00:00+00:00,2025-11-02T00:00:00-04:00,2025-11-02 04:00:00+00:00,PJM RTO,48169,7383,8234,63786
2025-11-04T00:00:00-05:00,2025-11-04 05:00:00+00:00,2025-11-05T00:00:00-05:00,2025-11-05 05:00:00+00:00,2025-11-02T00:00:00-04:00,2025-11-02 04:00:00+00:00,Western,20203,3484,4930,28617
2025-11-04T00:00:00-05:00,2025-11-04 05:00:00+00:00,2025-11-05T00:00:00-05:00,2025-11-05 05:00:00+00:00,2025-11-03T00:00:00-05:00,2025-11-03 05:00:00+00:00,Mid Atlantic - Dominion,27855,3761,3318,34934
2025-11-04T00:00:00-05:00,2025-11-04 05:00:00+00:00,2025-11-05T00:00:00-05:00,2025-11-05 05:00:00+00:00,2025-11-03T00:00:00-05:00,2025-11-03 05:00:00+00:00,PJM RTO,49139,6476,9715,65330
2025-11-04T00:00:00-05:00,2025-11-04 05:00:00+00:00,2025-11-05T00:00:00-05:00,2025-11-05 05:00:00+00:00,2025-11-03T00:00:00-05:00,2025-11-03 05:00:00+00:00,Western,21284,2715,6397,30396
2025-11-04T00:00:00-05:00,2025-11-04 05:00:00+00:00,2025-11-05T00:00:00-05:00,2025-11-05 05:00:00+00:00,2025-11-04T00:00:00-05:00,2025-11-04 05:00:00+00:00,Mid Atlantic - Dominion,27474,4866,5246,37586
2025-11-04T00:00:00-05:00,2025-11-04 05:00:00+00:00,2025-11-05T00:00:00-05:00,2025-11-05 05:00:00+00:00,2025-11-04T00:00:00-05:00,2025-11-04 05:00:00+00:00,PJM RTO,49697,8207,11617,69521
2025-11-04T00:00:00-05:00,2025-11-04 05:00:00+00:00,2025-11-05T00:00:00-05:00,2025-11-05 05:00:00+00:00,2025-11-04T00:00:00-05:00,2025-11-04 05:00:00+00:00,Western,22223,3341,6371,31935
2025-11-05T00:00:00-05:00,2025-11-05 05:00:00+00:00,2025-11-06T00:00:00-05:00,2025-11-06 05:00:00+00:00,2025-10-30T00:00:00-04:00,2025-10-30 04:00:00+00:00,Mid Atlantic - Dominion,27558,3545,1016,32119
2025-11-05T00:00:00-05:00,2025-11-05 05:00:00+00:00,2025-11-06T00:00:00-05:00,2025-11-06 05:00:00+00:00,2025-10-30T00:00:00-04:00,2025-10-30 04:00:00+00:00,PJM RTO,47649,5585,3803,57037
2025-11-05T00:00:00-05:00,2025-11-05 05:00:00+00:00,2025-11-06T00:00:00-05:00,2025-11-06 05:00:00+00:00,2025-10-30T00:00:00-04:00,2025-10-30 04:00:00+00:00,Western,20091,2040,2787,24918
2025-11-05T00:00:00-05:00,2025-11-05 05:00:00+00:00,2025-11-06T00:00:00-05:00,2025-11-06 05:00:00+00:00,2025-10-31T00:00:00-04:00,2025-10-31 04:00:00+00:00,Mid Atlantic - Dominion,27785,3673,1107,32565
