interval_start_utc,interval_end_utc,publish_time_utc,region,planned_outages_mw,maintenance_outages_mw,forced_outages_mw,total_outages_mw
2025-07-10 04:00:00+00:00,2025-07-11 04:00:00+00:00,2025-07-07 04:00:00+00:00,Mid Atlantic - Dominion,125,2669,2773,5567
2025-07-10 04:00:00+00:00,2025-07-11 04:00:00+00:00,2025-07-07 04:00:00+00:00,PJM RTO,125,4614,7898,12637
2025-07-10 04:00:00+00:00,2025-07-11 04:00:00+00:00,2025-07-07 04:00:00+00:00,Western,0,1945,5125,7070
2025-07-10 04:00:00+00:00,2025-07-11 04:00:00+00:00,2025-07-08 04:00:00+00:00,Mid Atlantic - Dominion,125,3459,3931,7515
2025-07-10 04:00:00+00:00,2025-07-11 04:00:00+00:00,2025-07-08 04:00:00+00:00,PJM RTO,125,6219,10415,16759
2025-07-10 04:00:00+00:00,2025-07-11 04:00:00+00:00,2025-07-08 04:00:00+00:00,Western,0,2760,6484,9244
2025-07-10 04:00:00+00:00,2025-07-11 04:00:00+00:00,2025-07-09 04:00:00+00:00,Mid Atlantic - Dominion,125,4898,3751,8774
2025-07-10 04:00:00+00:00,2025-07-11 04:00:00+00:00,2025-07-09 04:00:00+00:00,PJM RTO,125,9433,9899,19457
2025-07-10 04:00:00+00:00,2025-07-11 04:00:00+00:00,2025-07-09 04:00:00+00:00,Western,0,4535,6148,10683
2025-07-10 04:00:00+00:00,2025-07-11 04:00:00+00:00,2025-07-10 04:00:00+00:00,Mid Atlantic - Dominion,125,5051,4593,9769
2025-07-10 04:00:00+00:00,2025-07-11 04:00:00+00:00,2025-07-10 04:00:00+00:00,PJM RTO,125,9974,12014,22113
2025-07-10 04:00:00+00:00,2025-07-11 04:00:00+00:00,2025-07-10 04:00:00+00:00,Western,0,4923,7421,12344
2025-07-11 04:00:00+00:00,2025-07-12 04:00:00+00:00,2025-07-05 04:00:00+00:00,Mid Atlantic - Dominion,125,1412,2043,3580
2025-07-11 04:00:00+00:00,2025-07-12 04:00:00+00:00,2025-07-05 04:00:00+00:00,PJM RTO,125,2598,7090,9813
2025-07-11 04:00:00+00:00,2025-07-12 04:00:00+00:00,2025-07-05 04:00:00+00:00,Western,0,1186,5047,6233
2025-07-11 04:00:00+00:00,2025-07-12 04:00:00+00:00,2025-07-06 04:00:00+00:00,Mid Atlantic - Dominion,125,1603,2385,4113
2025-07-11 04:00:00+00:00,2025-07-12 04:00:00+00:00,2025-07-06 04:00:00+00:00,PJM RTO,125,2803,7453,10381
2025-07-11 04:00:00+00:00,2025-07-12 04:00:00+00:00,2025-07-06 04:00:00+00:00,Western,0,1200,5068,6268
2025-07-11 04:00:00+00:00,2025-07-12 04:00:00+00:00,2025-07-07 04:00:00+00:00,Mid Atlantic - Dominion,125,1763,2497,4385
2025-07-11 04:00:00+00:00,2025-07-12 04:00:00+00:00,2025-07-07 04:00:00+00:00,PJM RTO,125,2984,7609,10718
2025-07-11 04:00:00+00:00,2025-07-12 04:00:00+00:00,2025-07-07 04:00:00+00:00,Western,0,1221,5112,6333
2025-07-11 04:00:00+00:00,2025-07-12 04:00:00+00:00,2025-07-08 04:00:00+00:00,Mid Atlantic - Dominion,125,2591,3650,6366
2025-07-11 04:00:00+00:00,2025-07-12 04:00:00+00:00,2025-07-08 04:00:00+00:00,PJM RTO,125,4156,8985,13266
2025-07-11 04:00:00+00:00,2025-07-12 04:00:00+00:00,2025-07-08 04:00:00+00:00,Western,0,1565,5335,6900
2025-07-11 04:00:00+00:00,2025-07-12 04:00:00+00:00,2025-07-09 04:00:00+00:00,Mid Atlantic - Dominion,125,3905,3430,7460
2025-07-11 04:00:00+00:00,2025-07-12 04:00:00+00:00,2025-07-09 04:00:00+00:00,PJM RTO,125,7197,9080,16402
2025-07-11 04:00:00+00:00,2025-07-12 04:00:00+00:00,2025-07-09 04:00:00+00:00,Western,0,3292,5650,8942
2025-07-11 04:00:00+00:00,2025-07-12 04:00:00+00:00,2025-07-10 04:00:00+00:00,Mid Atlantic - Dominion,125,5596,3809,9530
2025-07-11 04:00:00+00:00,2025-07-12 04:00:00+00:00,2025-07-10 04:00:00+00:00,PJM RTO,125,9561,10393,20079
2025-07-11 04:00:00+00:00,2025-07-12 04:00:00+00:00,2025-07-10 04:00:00+00:00,Western,0,3965,6584,10549
2025-07-11 04:00:00+00:00,2025-07-12 04:00:00+00:00,2025-07-11 04:00:00+00:00,Mid Atlantic - Dominion,125,5082,6037,11244
2025-07-11 04:00:00+00:00,2025-07-12 04:00:00+00:00,2025-07-11 04:00:00+00:00,PJM RTO,125,8915,13102,22142
2025-07-11 04:00:00+00:00,2025-07-12 04:00:00+00:00,2025-07-11 04:00:00+00:00,Western,0,3833,7065,10898
2025-07-12 04:00:00+00:00,2025-07-13 04:00:00+00:00,2025-07-06 04:00:00+00:00,Mid Atlantic - Dominion,0,2629,1962,4591
2025-07-12 04:00:00+00:00,2025-07-13 04:00:00+00:00,2025-07-06 04:00:00+00:00,PJM RTO,0,4551,6743,11294
2025-07-12 04:00:00+00:00,2025-07-13 04:00:00+00:00,2025-07-06 04:00:00+00:00,Western,0,1922,4781,6703
2025-07-12 04:00:00+00:00,2025-07-13 04:00:00+00:00,2025-07-07 04:00:00+00:00,Mid Atlantic - Dominion,0,2789,2074,4863
2025-07-12 04:00:00+00:00,2025-07-13 04:00:00+00:00,2025-07-07 04:00:00+00:00,PJM RTO,0,4732,6898,11630
2025-07-12 04:00:00+00:00,2025-07-13 04:00:00+00:00,2025-07-07 04:00:00+00:00,Western,0,1943,4824,6767
2025-07-12 04:00:00+00:00,2025-07-13 04:00:00+00:00,2025-07-08 04:00:00+00:00,Mid Atlantic - Dominion,0,4451,2659,7110
2025-07-12 04:00:00+00:00,2025-07-13 04:00:00+00:00,2025-07-08 04:00:00+00:00,PJM RTO,0,7033,7719,14752
2025-07-12 04:00:00+00:00,2025-07-13 04:00:00+00:00,2025-07-08 04:00:00+00:00,Western,0,2582,5060,7642
2025-07-12 04:00:00+00:00,2025-07-13 04:00:00+00:00,2025-07-09 04:00:00+00:00,Mid Atlantic - Dominion,0,6144,2369,8513
2025-07-12 04:00:00+00:00,2025-07-13 04:00:00+00:00,2025-07-09 04:00:00+00:00,PJM RTO,0,10753,7509,18262
2025-07-12 04:00:00+00:00,2025-07-13 04:00:00+00:00,2025-07-09 04:00:00+00:00,Western,0,4609,5140,9749
2025-07-12 04:00:00+00:00,2025-07-13 04:00:00+00:00,2025-07-10 04:00:00+00:00,Mid Atlantic - Dominion,0,6974,2347,9321
2025-07-12 04:00:00+00:00,2025-07-13 04:00:00+00:00,2025-07-10 04:00:00+00:00,PJM RTO,0,11488,8212,19700
2025-07-12 04:00:00+00:00,2025-07-13 04:00:00+00:00,2025-07-10 04:00:00+00:00,Western,0,4514,5865,10379
2025-07-12 04:00:00+00:00,2025-07-13 04:00:00+00:00,2025-07-11 04:00:00+00:00,Mid Atlantic - Dominion,0,7102,3683,10785
2025-07-12 04:00:00+00:00,2025-07-13 04:00:00+00:00,2025-07-11 04:00:00+00:00,PJM RTO,0,12520,9806,22326
2025-07-12 04:00:00+00:00,2025-07-13 04:00:00+00:00,2025-07-11 04:00:00+00:00,Western,0,5418,6123,11541
2025-07-12 04:00:00+00:00,2025-07-13 04:00:00+00:00,2025-07-12 04:00:00+00:00,Mid Atlantic - Dominion,0,5229,5062,10291
2025-07-12 04:00:00+00:00,2025-07-13 04:00:00+00:00,2025-07-12 04:00:00+00:00,PJM RTO,0,12557,12898,25455
2025-07-12 04:00:00+00:00,2025-07-13 04:00:00+00:00,2025-07-12 04:00:00+00:00,Western,0,7328,7836,15164
2025-07-13 04:00:00+00:00,2025-07-14 04:00:00+00:00,2025-07-07 04:00:00+00:00,Mid Atlantic - Dominion,0,1800,2074,3874
2025-07-13 04:00:00+00:00,2025-07-14 04:00:00+00:00,2025-07-07 04:00:00+00:00,PJM RTO,0,3252,6898,10150
2025-07-13 04:00:00+00:00,2025-07-14 04:00:00+00:00,2025-07-07 04:00:00+00:00,Western,0,1452,4824,6276
2025-07-13 04:00:00+00:00,2025-07-14 04:00:00+00:00,2025-07-08 04:00:00+00:00,Mid Atlantic - Dominion,0,2320,2659,4979
2025-07-13 04:00:00+00:00,2025-07-14 04:00:00+00:00,2025-07-08 04:00:00+00:00,PJM RTO,0,3966,7719,11685
2025-07-13 04:00:00+00:00,2025-07-14 04:00:00+00:00,2025-07-08 04:00:00+00:00,Western,0,1646,5060,6706
2025-07-13 04:00:00+00:00,2025-07-14 04:00:00+00:00,2025-07-09 04:00:00+00:00,Mid Atlantic - Dominion,0,4242,2369,6611
2025-07-13 04:00:00+00:00,2025-07-14 04:00:00+00:00,2025-07-09 04:00:00+00:00,PJM RTO,0,7915,7509,15424
2025-07-13 04:00:00+00:00,2025-07-14 04:00:00+00:00,2025-07-09 04:00:00+00:00,Western,0,3673,5140,8813
2025-07-13 04:00:00+00:00,2025-07-14 04:00:00+00:00,2025-07-10 04:00:00+00:00,Mid Atlantic - Dominion,0,4222,2347,6569
2025-07-13 04:00:00+00:00,2025-07-14 04:00:00+00:00,2025-07-10 04:00:00+00:00,PJM RTO,0,7820,7960,15780
2025-07-13 04:00:00+00:00,2025-07-14 04:00:00+00:00,2025-07-10 04:00:00+00:00,Western,0,3598,5613,9211
